bia.di,bii.di,bit.di,che.de,che.di,elb.di,wri.di,kne.di,ank.di,sho.gi,che.gi,wai.gi,nav.gi,hip.gi,thi.gi,bic.gi,for.gi,kne.gi,cal.gi,ank.gi,wri.gi,age,wgt,hgt,sex
40.5,28.7,30.4,22.1,29.2,14.3,11.2,18.5,14.5,116.5,104.2,84.2,84.0,93.2,55.0,33.0,25.4,35.6,36.4,22.8,15.9,35,73.6,176.5,1
39.6,28.6,31.2,18.0,27.2,12.4,10.1,19.3,13.8,101.4,89.6,72.6,86.3,93.7,56.4,27.4,23.4,37.0,38.4,21.3,15.6,38,67.3,179.9,0
38.5,25.6,31.7,17.0,25.6,11.8,10.2,16.8,12.9,92.8,87.6,74.7,77.0,97.7,57.0,28.1,23.1,34.4,32.7,20.9,15.2,19,60.0,156.2,0
42.9,27.5,30.3,18.9,29.6,12.6,10.4,19.2,13.8,109.5,92.5,80.9,78.5,96.0,59.0,31.5,26.3,36.1,39.0,21.2,15.6,27,67.7,167.4,1
37.8,28.5,33.5,18.0,27.1,12.9,10.4,18.6,13.4,100.8,84.7,65.0,84.5,94.7,54.8,28.9,24.4,34.7,34.8,22.5,15.3,45,54.5,162.6,0
40.5,27.5,32.3,19.4,28.8,12.6,10.6,18.4,14.0,114.3,92.5,81.0,85.2,92.5,54.7,32.3,26.8,35.8,37.6,21.1,15.8,26,72.0,177.5,1
36.9,26.9,31.9,16.1,25.2,13.4,10.0,18.8,14.3,95.6,82.6,65.4,74.8,89.3,53.7,26.4,23.8,34.0,33.7,19.1,14.7,44,55.7,167.6,0
43.6,28.0,32.4,27.5,33.5,14.6,11.7,21.4,15.1,128.8,115.0,95.6,101.9,107.9,64.6,37.1,30.0,41.8,39.6,24.7,18.2,22,108.6,190.5,1
35.1,26.6,29.2,17.0,24.4,11.8,9.4,17.0,12.2,94.4,82.5,65.6,81.8,92.8,56.2,28.8,24.7,33.0,34.6,21.7,15.8,32,55.4,160.0,0
36.5,29.7,34.0,20.2,28.5,13.3,9.8,18.9,12.4,104.0,95.4,86.0,107.1,112.1,64.4,32.3,26.4,35.7,37.0,21.4,15.8,40,76.8,157.5,0
42.1,27.1,32.2,20.2,30.6,13.7,10.8,18.9,14.3,118.3,101.6,79.7,82.0,98.4,58.1,36.5,31.0,38.0,38.1,25.3,17.7,19,76.6,177.8,1
42.0,28.0,34.0,22.5,28.0,15.6,12.0,21.1,15.0,119.5,93.5,77.5,81.5,99.8,59.8,36.5,29.2,38.3,38.6,22.2,16.9,21,81.6,184.0,1
38.5,30.8,35.1,15.8,27.3,13.1,10.6,18.6,14.2,97.2,83.5,71.2,83.0,96.5,52.4,25.2,21.7,33.7,32.1,21.0,15.0,32,56.6,172.1,0
43.5,28.8,34.0,20.6,29.0,14.3,10.5,19.8,14.2,115.0,91.0,76.8,80.0,94.5,54.6,33.2,28.0,37.5,35.6,22.1,16.3,24,74.5,182.4,1
36.2,30.2,31.2,16.8,27.7,11.5,9.4,17.4,13.1,97.3,85.0,65.7,77.7,90.5,56.1,29.4,23.1,33.2,34.4,20.3,14.4,25,54.8,161.2,0
36.7,25.2,29.2,18.5,24.2,12.0,9.0,17.0,11.8,94.9,79.9,62.5,74.0,87.6,51.6,25.7,21.9,31.7,34.7,18.5,13.9,32,55.5,174.0,0
38.7,26.8,31.5,21.4,27.8,13.8,10.8,18.2,13.3,113.8,100.9,90.6,93.3,97.7,58.0,34.8,28.0,34.1,35.8,22.2,16.3,33,72.2,163.8,1
37.6,31.3,33.5,17.0,25.4,12.4,9.4,19.2,11.5,105.0,76.8,73.6,106.3,106.2,61.7,31.4,26.2,39.6,39.1,24.8,16.2,44,72.7,175.3,0
38.0,29.7,34.0,22.8,27.3,13.1,10.8,17.3,15.5,107.8,95.1,84.7,92.9,96.7,54.6,32.8,25.3,36.6,35.0,23.5,17.1,56,70.9,175.3,1
37.6,27.8,31.1,19.9,25.9,12.9,9.6,17.2,13.8,101.4,87.3,66.9,83.3,90.6,54.4,28.9,23.8,33.9,33.9,20.8,15.5,19,54.5,162.6,0
37.5,29.2,35.1,19.6,27.5,13.1,10.2,20.0,13.1,101.5,91.0,75.0,85.0,103.0,62.0,31.5,26.5,38.2,40.0,23.0,16.0,22,72.8,170.2,0
35.6,27.9,32.0,15.6,23.9,11.9,9.6,18.2,12.7,98.1,80.2,63.1,78.9,93.9,57.1,26.4,23.1,35.0,35.0,20.1,14.9,20,55.0,162.0,0
44.2,30.3,34.7,19.4,30.0,14.9,11.0,19.1,15.8,113.0,93.6,77.5,82.1,95.0,56.5,32.8,26.2,37.6,36.3,21.0,16.6,23,74.8,183.5,1
38.0,30.4,32.9,17.0,27.1,12.9,10.4,19.5,14.4,108.4,91.8,69.9,90.4,101.0,60.6,30.3,25.4,37.7,37.9,22.4,15.4,29,71.8,176.5,0
36.7,29.0,32.0,19.7,25.6,12.4,10.0,18.6,13.0,100.5,86.1,68.3,85.3,96.5,55.1,26.0,22.6,33.9,33.7,21.8,15.0,23,60.0,177.8,0
34.7,29.4,31.5,17.7,24.9,13.4,9.6,18.4,13.4,99.0,84.4,63.6,84.9,92.7,54.4,26.7,23.7,33.5,33.6,20.2,14.6,39,55.0,170.2,0
44.1,29.2,35.3,23.6,30.9,15.8,12.5,20.2,15.2,119.5,106.0,86.0,92.0,103.0,60.6,34.0,29.8,38.8,39.5,23.6,18.0,24,90.9,197.1,1
39.2,29.9,34.9,18.5,26.4,14.3,10.8,19.6,14.4,108.2,90.7,75.3,96.3,103.6,59.9,31.5,25.4,35.7,35.8,21.1,16.3,67,67.7,170.2,0
41.1,26.8,32.4,20.2,31.1,14.4,11.8,20.4,15.2,120.0,101.0,82.0,82.0,98.0,59.0,35.4,29.0,38.0,42.0,23.6,17.5,34,75.5,167.6,1
34.7,29.4,33.5,17.7,25.4,12.4,10.8,20.2,12.8,100.2,94.1,79.6,103.5,104.3,66.5,36.9,29.0,40.3,37.9,24.6,16.4,34,75.5,160.0,0
42.3,26.8,32.0,25.4,28.7,15.0,11.2,18.4,14.4,122.3,104.3,88.4,89.6,98.8,54.8,35.5,29.7,37.7,37.0,23.7,18.3,26,79.5,182.9,1
36.9,26.4,32.4,16.6,26.0,12.6,10.5,18.9,14.4,100.1,85.6,62.7,74.0,96.0,61.5,28.0,23.6,35.4,38.5,21.3,15.4,22,59.3,152.0,0
35.1,23.4,30.6,16.2,26.8,12.1,9.4,16.1,12.2,98.2,82.0,64.1,74.1,96.0,53.7,26.6,23.2,35.2,35.0,21.0,14.8,23,53.8,164.0,0
35.0,25.0,27.2,15.4,23.4,10.8,8.7,16.8,12.2,98.5,80.8,67.5,75.4,85.8,53.8,24.8,21.5,33.0,33.0,20.0,14.0,26,47.6,159.5,0
37.4,29.4,31.7,16.5,25.9,12.2,10.8,19.4,14.3,95.1,80.5,67.4,77.7,95.1,56.3,27.0,24.3,36.2,36.7,23.7,15.9,29,63.0,168.9,0
